;Accuracy;f1_score_macro;Method;Alpha;Samples_labeled;Dataset;Neighbors;Resolution;ADC;Time;Qnt_Amostras;Qnt_parametros;Execucao
39;0,4709897610921502;0,3462175196141942;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,03032530000200495;297,0;13,0;10,0
40;0,7303754266211604;0,703642532488317;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,22255659999791533;297,0;13,0;11,0
41;0,7952218430034129;0,791528317996395;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,059302599998773076;297,0;13,0;12,0
42;0,4709897610921502;0,3413247472769729;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,05205839999689488;297,0;13,0;13,0
43;0,658703071672355;0,6452784503631961;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,0251672000013059;297,0;13,0;14,0
44;0,7713310580204779;0,7620052130690429;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,04359949999343371;297,0;13,0;15,0
45;0,6518771331058021;0,5774038461538462;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,026032000001578126;297,0;13,0;16,0
46;0,757679180887372;0,7569544238430712;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,048083100002259016;297,0;13,0;17,0
47;0,7474402730375427;0,7335054080629302;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,028500300002633594;297,0;13,0;18,0
48;0,6040955631399317;0,5873640248640248;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,028584800005774014;297,0;13,0;19,0
49;0,5494880546075085;0,37441770186335405;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,05086210000445135;297,0;13,0;20,0
50;0,726962457337884;0,7055572304291026;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,035034700005780905;297,0;13,0;21,0
51;0,5426621160409556;0,35846405228758166;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,03991230000247015;297,0;13,0;22,0
52;0,7030716723549488;0,6639243760629672;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,07792770000378368;297,0;13,0;23,0
53;0,7303754266211604;0,7120052754034315;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,044839000001957174;297,0;13,0;24,0
54;0,658703071672355;0,6061827956989247;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,04455919999600155;297,0;13,0;25,0
55;0,7201365187713311;0,7139761904761905;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,05017089999455493;297,0;13,0;26,0
56;0,7542662116040956;0,7541946308724832;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,030832500000542495;297,0;13,0;27,0
57;0,5631399317406144;0,4659375712007291;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,052460500002780464;297,0;13,0;28,0
58;0,515358361774744;0,43067870826491517;LLGC;0,9;2;heart_2classes;6;1;fastgreedy;0,04853739999816753;297,0;13,0;29,0
